"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num District total","num District rptg","over votes","under votes"
1,"Governor (Vote For 1)"," - PHILIP MURPHY","",42349,55.13,206681,79138,229,229,"0","0"
2,"Governor (Vote For 1)"," - KIM GUADAGNO","",32448,42.24,206681,79138,229,229,"0","0"
3,"Governor (Vote For 1)"," - VINCENT ROSS","",593,0.77,206681,79138,229,229,"0","0"
4,"Governor (Vote For 1)"," - SETH KAPER-DALE","",259,0.34,206681,79138,229,229,"0","0"
5,"Governor (Vote For 1)"," - GINA GENOVESE","",449,0.58,206681,79138,229,229,"0","0"
6,"Governor (Vote For 1)"," - MATTHEW RICCARDI","",174,0.23,206681,79138,229,229,"0","0"
7,"Governor (Vote For 1)"," - PETER J. ROHRMAN","",423,0.55,206681,79138,229,229,"0","0"
8,"Governor (Vote For 1)","Write-In","",125,0.16,206681,79138,229,229,"0","0"
9,"State Senate 3rd Legislative District (Vote For 1)"," - STEVE SWEENEY","",19779,60.80,84858,34002,97,97,"0","0"
10,"State Senate 3rd Legislative District (Vote For 1)"," - FRAN GRENIER","",12639,38.85,84858,34002,97,97,"0","0"
11,"State Senate 3rd Legislative District (Vote For 1)","Write-In","",112,0.34,84858,34002,97,97,"0","0"
12,"State Senate 4th Legislative District (Vote For 1)"," - FRED H. MADDEN","",16503,97.67,68301,24592,72,72,"0","0"
13,"State Senate 4th Legislative District (Vote For 1)","Write-In","",394,2.33,68301,24592,72,72,"0","0"
14,"State Senate 5th Legislative District (Vote For 1)"," - NILSA CRUZ-PEREZ","",10877,57.03,53522,20544,60,60,"0","0"
15,"State Senate 5th Legislative District (Vote For 1)"," - KEITH WALKER","",8027,42.09,53522,20544,60,60,"0","0"
16,"State Senate 5th Legislative District (Vote For 1)"," - MOHAMMAD KABIR","",140,0.73,53522,20544,60,60,"0","0"
17,"State Senate 5th Legislative District (Vote For 1)","Write-In","",28,0.15,53522,20544,60,60,"0","0"
18,"General Assembly 3rd Legislative District (Vote For 2)"," - JOHN J. BURZICHELLI","",19686,31.13,84858,34002,97,97,"0","0"
