Race,Candidate,Vote Type,Locality,Votes
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 1-1,901
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 1-1,224
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 1-2,988
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 1-2,264
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 1-3,816
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 1-3,207
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 1-4,922
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 1-4,279
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 1-5,845
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 1-5,214
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 1-6,610
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 1-6,174
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-1,662
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-1,179
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-2,528
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-2,148
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-3,826
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-3,254
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-4,865
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-4,217
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-5,819
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-5,220
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-6,770
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-6,250
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-7,721
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-7,198
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 2-8,1055
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 2-8,306
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 3-1,804
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 3-1,199
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 3-2,849
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 3-2,211
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 3-3,1061
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 3-3,213
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 3-4,825
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 3-4,225
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 3-5,644
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 3-5,170
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 3-6,943
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 3-6,246
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 4-1,671
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 4-1,163
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 4-2,884
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 4-2,219
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 4-3,879
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 4-3,224
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 4-4,1119
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 4-4,272
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 4-5,660
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 4-5,194
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Belleville 4-6,1093
For Governor / Lt. Governor (Vote For 1),,Total,Belleville 4-6,295
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 1-2,1397
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 1-2,407
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 1-3,1173
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 1-3,342
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 1-4,798
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 1-4,211
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 1-5,977
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 1-5,293
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 1-6,953
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 1-6,246
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 1-7,885
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 1-7,274
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 1-8,774
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 1-8,223
