Race,Candidate,Vote Type,Locality,Votes
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell 1,619
State Senate 27th District (Vote For 1),,Total,Caldwell 1,290
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell 2,507
State Senate 27th District (Vote For 1),,Total,Caldwell 2,165
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell 3,552
State Senate 27th District (Vote For 1),,Total,Caldwell 3,201
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell 4,824
State Senate 27th District (Vote For 1),,Total,Caldwell 4,290
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell 5,964
State Senate 27th District (Vote For 1),,Total,Caldwell 5,410
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell 6,814
State Senate 27th District (Vote For 1),,Total,Caldwell 6,291
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell 7,1183
State Senate 27th District (Vote For 1),,Total,Caldwell 7,411
State Senate 27th District (Vote For 1),,Registered Voters,Essex Fells 1,715
State Senate 27th District (Vote For 1),,Total,Essex Fells 1,199
State Senate 27th District (Vote For 1),,Registered Voters,Essex Fells 2,1136
State Senate 27th District (Vote For 1),,Total,Essex Fells 2,377
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 1,774
State Senate 27th District (Vote For 1),,Total,Livingston 1,248
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 2,909
State Senate 27th District (Vote For 1),,Total,Livingston 2,286
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 3,1015
State Senate 27th District (Vote For 1),,Total,Livingston 3,336
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 4,799
State Senate 27th District (Vote For 1),,Total,Livingston 4,222
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 5,1121
State Senate 27th District (Vote For 1),,Total,Livingston 5,345
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 6,810
State Senate 27th District (Vote For 1),,Total,Livingston 6,266
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 7,713
State Senate 27th District (Vote For 1),,Total,Livingston 7,229
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 8,822
State Senate 27th District (Vote For 1),,Total,Livingston 8,292
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 9,624
State Senate 27th District (Vote For 1),,Total,Livingston 9,197
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 10,1236
State Senate 27th District (Vote For 1),,Total,Livingston 10,373
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 11,1016
State Senate 27th District (Vote For 1),,Total,Livingston 11,243
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 12,1035
State Senate 27th District (Vote For 1),,Total,Livingston 12,267
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 13,843
State Senate 27th District (Vote For 1),,Total,Livingston 13,236
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 14,1118
State Senate 27th District (Vote For 1),,Total,Livingston 14,289
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 15,790
State Senate 27th District (Vote For 1),,Total,Livingston 15,232
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 16,641
State Senate 27th District (Vote For 1),,Total,Livingston 16,181
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 17,888
State Senate 27th District (Vote For 1),,Total,Livingston 17,208
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 18,707
State Senate 27th District (Vote For 1),,Total,Livingston 18,223
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 19,1097
State Senate 27th District (Vote For 1),,Total,Livingston 19,313
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 20,810
State Senate 27th District (Vote For 1),,Total,Livingston 20,220
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 21,789
State Senate 27th District (Vote For 1),,Total,Livingston 21,230
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 22,751
State Senate 27th District (Vote For 1),,Total,Livingston 22,260
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 23,611
State Senate 27th District (Vote For 1),,Total,Livingston 23,153
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 24,646
State Senate 27th District (Vote For 1),,Total,Livingston 24,150
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 25,852
State Senate 27th District (Vote For 1),,Total,Livingston 25,250
State Senate 27th District (Vote For 1),,Registered Voters,Livingston 26,863
State Senate 27th District (Vote For 1),,Total,Livingston 26,277
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 1,769
State Senate 27th District (Vote For 1),,Total,Maplewood 1,322
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 2,1139
State Senate 27th District (Vote For 1),,Total,Maplewood 2,469
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 3,993
State Senate 27th District (Vote For 1),,Total,Maplewood 3,439
