"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"U.S. Representative, District 6","DAVID ABROMS","",1639,0.85,439909,192756,3,3,"0","0"
2,"U.S. Representative, District 6","MOHAMMAD ALI BHUIYAN","",415,0.22,439909,192756,3,3,"0","0"
3,"U.S. Representative, District 6","RAGIN EDWARDS","",504,0.26,439909,192756,3,3,"0","0"
4,"U.S. Representative, District 6","KEITH GRAWERT","",415,0.22,439909,192756,3,3,"0","0"
5,"U.S. Representative, District 6","BOB GRAY","",20802,10.80,439909,192756,3,3,"0","0"
6,"U.S. Representative, District 6","KAREN HANDEL","",38071,19.77,439909,192756,3,3,"0","0"
7,"U.S. Representative, District 6","ALEXANDER HERNANDEZ","",121,0.06,439909,192756,3,3,"0","0"
8,"U.S. Representative, District 6","JUDSON HILL","",16870,8.76,439909,192756,3,3,"0","0"
9,"U.S. Representative, District 6","RICHARD KEATLEY","",229,0.12,439909,192756,3,3,"0","0"
10,"U.S. Representative, District 6","AMY KREMER","",351,0.18,439909,192756,3,3,"0","0"
11,"U.S. Representative, District 6","BRUCE LEVELL","",455,0.24,439909,192756,3,3,"0","0"
12,"U.S. Representative, District 6","WILLIAM LLOP","",326,0.17,439909,192756,3,3,"0","0"
13,"U.S. Representative, District 6","DAN MOODY","",17028,8.84,439909,192756,3,3,"0","0"
14,"U.S. Representative, District 6","JON OSSOFF","",92673,48.12,439909,192756,3,3,"0","0"
15,"U.S. Representative, District 6","ANDRE POLLARD","",55,0.03,439909,192756,3,3,"0","0"
16,"U.S. Representative, District 6","REBECCA QUIGG","",304,0.16,439909,192756,3,3,"0","0"
17,"U.S. Representative, District 6","RON SLOTIN","",491,0.25,439909,192756,3,3,"0","0"
18,"U.S. Representative, District 6","KURT WILSON","",1820,0.95,439909,192756,3,3,"0","0"
19,"State Senator, District 32","HAMILTON MATTHEW BECK","",2168,3.70,127258,61321,2,2,"0","0"
20,"State Senator, District 32","MATT CAMPBELL","",5858,9.99,127258,61321,2,2,"0","0"
21,"State Senator, District 32","ROYDEN ""ROY"" DANIELS","",8912,15.20,127258,61321,2,2,"0","0"
22,"State Senator, District 32","EXTON HOWARD","",4063,6.93,127258,61321,2,2,"0","0"
23,"State Senator, District 32","KAY KIRKPATRICK","",12369,21.09,127258,61321,2,2,"0","0"
24,"State Senator, District 32","GUS MAKRIS","",5969,10.18,127258,61321,2,2,"0","0"
25,"State Senator, District 32","CHRISTINE TRIEBSCH","",14199,24.22,127258,61321,2,2,"0","0"
26,"State Senator, District 32","BOB WISKIND","",5097,8.69,127258,61321,2,2,"0","0"
