Race,Candidate,Vote Type,Locality,Votes
Governor (Vote For 1),,Registered Voters,Clayton District 1,845
Governor (Vote For 1),,Total,Clayton District 1,290
Governor (Vote For 1),,Registered Voters,Clayton District 2,819
Governor (Vote For 1),,Total,Clayton District 2,232
Governor (Vote For 1),,Registered Voters,Clayton District 3,1183
Governor (Vote For 1),,Total,Clayton District 3,386
Governor (Vote For 1),,Registered Voters,Clayton District 4,1066
Governor (Vote For 1),,Total,Clayton District 4,315
Governor (Vote For 1),,Registered Voters,Clayton District 5,750
Governor (Vote For 1),,Total,Clayton District 5,197
Governor (Vote For 1),,Registered Voters,Clayton District 6,1017
Governor (Vote For 1),,Total,Clayton District 6,357
Governor (Vote For 1),,Registered Voters,Deptford District 1,956
Governor (Vote For 1),,Total,Deptford District 1,302
Governor (Vote For 1),,Registered Voters,Deptford District 2,1064
Governor (Vote For 1),,Total,Deptford District 2,345
Governor (Vote For 1),,Registered Voters,Deptford District 3,1184
Governor (Vote For 1),,Total,Deptford District 3,368
Governor (Vote For 1),,Registered Voters,Deptford District 4,1111
Governor (Vote For 1),,Total,Deptford District 4,313
Governor (Vote For 1),,Registered Voters,Deptford District 5,1019
Governor (Vote For 1),,Total,Deptford District 5,326
Governor (Vote For 1),,Registered Voters,Deptford District 6,1074
Governor (Vote For 1),,Total,Deptford District 6,300
Governor (Vote For 1),,Registered Voters,Deptford District 7,542
Governor (Vote For 1),,Total,Deptford District 7,183
Governor (Vote For 1),,Registered Voters,Deptford District 8,897
Governor (Vote For 1),,Total,Deptford District 8,272
Governor (Vote For 1),,Registered Voters,Deptford District 9,954
Governor (Vote For 1),,Total,Deptford District 9,321
Governor (Vote For 1),,Registered Voters,Deptford District 10,1201
Governor (Vote For 1),,Total,Deptford District 10,362
Governor (Vote For 1),,Registered Voters,Deptford District 11,1248
Governor (Vote For 1),,Total,Deptford District 11,417
Governor (Vote For 1),,Registered Voters,Deptford District 12,1147
Governor (Vote For 1),,Total,Deptford District 12,410
Governor (Vote For 1),,Registered Voters,Deptford District 13,835
Governor (Vote For 1),,Total,Deptford District 13,264
Governor (Vote For 1),,Registered Voters,Deptford District 14,1077
Governor (Vote For 1),,Total,Deptford District 14,305
Governor (Vote For 1),,Registered Voters,Deptford District 15,605
Governor (Vote For 1),,Total,Deptford District 15,185
Governor (Vote For 1),,Registered Voters,Deptford District 16,660
Governor (Vote For 1),,Total,Deptford District 16,259
Governor (Vote For 1),,Registered Voters,Deptford District 17,794
Governor (Vote For 1),,Total,Deptford District 17,191
Governor (Vote For 1),,Registered Voters,Deptford District 18,590
Governor (Vote For 1),,Total,Deptford District 18,265
Governor (Vote For 1),,Registered Voters,Deptford District 19,1037
Governor (Vote For 1),,Total,Deptford District 19,249
Governor (Vote For 1),,Registered Voters,Deptford District 20,1210
Governor (Vote For 1),,Total,Deptford District 20,322
Governor (Vote For 1),,Registered Voters,Deptford District 21,1402
Governor (Vote For 1),,Total,Deptford District 21,428
Governor (Vote For 1),,Registered Voters,Deptford District 22,1082
Governor (Vote For 1),,Total,Deptford District 22,371
Governor (Vote For 1),,Registered Voters,East Greenwich 1,1237
Governor (Vote For 1),,Total,East Greenwich 1,374
Governor (Vote For 1),,Registered Voters,East Greenwich 2,1174
Governor (Vote For 1),,Total,East Greenwich 2,410
Governor (Vote For 1),,Registered Voters,East Greenwich 3,820
Governor (Vote For 1),,Total,East Greenwich 3,351
Governor (Vote For 1),,Registered Voters,East Greenwich 4,1060
Governor (Vote For 1),,Total,East Greenwich 4,335
Governor (Vote For 1),,Registered Voters,East Greenwich 5,857
Governor (Vote For 1),,Total,East Greenwich 5,268
Governor (Vote For 1),,Registered Voters,East Greenwich 6,1290
Governor (Vote For 1),,Total,East Greenwich 6,437
Governor (Vote For 1),,Registered Voters,East Greenwich 7,1425
Governor (Vote For 1),,Total,East Greenwich 7,388
Governor (Vote For 1),,Registered Voters,Elk District 1,571
Governor (Vote For 1),,Total,Elk District 1,191
Governor (Vote For 1),,Registered Voters,Elk District 2,688
Governor (Vote For 1),,Total,Elk District 2,257
Governor (Vote For 1),,Registered Voters,Elk District 3,1099
Governor (Vote For 1),,Total,Elk District 3,394
Governor (Vote For 1),,Registered Voters,Elk District 4,824
Governor (Vote For 1),,Total,Elk District 4,299
Governor (Vote For 1),,Registered Voters,Franklin District 1,758
Governor (Vote For 1),,Total,Franklin District 1,241
Governor (Vote For 1),,Registered Voters,Franklin District 2,1270
Governor (Vote For 1),,Total,Franklin District 2,400
Governor (Vote For 1),,Registered Voters,Franklin District 3,1393
Governor (Vote For 1),,Total,Franklin District 3,434
Governor (Vote For 1),,Registered Voters,Franklin District 4,1208
Governor (Vote For 1),,Total,Franklin District 4,398
Governor (Vote For 1),,Registered Voters,Franklin District 5,992
Governor (Vote For 1),,Total,Franklin District 5,296
Governor (Vote For 1),,Registered Voters,Franklin District 6,1402
Governor (Vote For 1),,Total,Franklin District 6,485
Governor (Vote For 1),,Registered Voters,Franklin District 7,999
Governor (Vote For 1),,Total,Franklin District 7,307
Governor (Vote For 1),,Registered Voters,Franklin District 8,702
Governor (Vote For 1),,Total,Franklin District 8,195
Governor (Vote For 1),,Registered Voters,Franklin District 9,960
Governor (Vote For 1),,Total,Franklin District 9,340
Governor (Vote For 1),,Registered Voters,Franklin District 10,1081
Governor (Vote For 1),,Total,Franklin District 10,358
Governor (Vote For 1),,Registered Voters,Franklin District 11,972
Governor (Vote For 1),,Total,Franklin District 11,333
Governor (Vote For 1),,Registered Voters,Glassboro District 1,1044
Governor (Vote For 1),,Total,Glassboro District 1,277
Governor (Vote For 1),,Registered Voters,Glassboro District 2,521
Governor (Vote For 1),,Total,Glassboro District 2,163
