Race,Candidate,Vote Type,Locality,Votes
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 1,830
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 1,168
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 2,1222
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 2,263
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 3,724
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 3,121
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 4,675
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 4,117
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 5,943
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 5,195
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 6,1145
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 6,281
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 7,1261
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 7,271
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 8,873
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 8,146
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 9,1076
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 9,305
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 10,779
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 10,151
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 11,539
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 11,104
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 12,787
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 12,179
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 13,1242
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 13,258
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 14,948
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 14,208
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 15,1207
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 15,275
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 16,979
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 16,158
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 17,950
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 17,131
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 18,1000
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 18,196
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 19,1047
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 19,257
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 20,781
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 20,163
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 21,970
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 21,240
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 22,1468
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 22,322
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 23,1233
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 23,239
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 24,864
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 24,212
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 25,751
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 25,146
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Monroe District 26,1133
State Senate 4th Legislative District (Vote For 1),,Total,Monroe District 26,249
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Pitman District 1,1040
State Senate 4th Legislative District (Vote For 1),,Total,Pitman District 1,305
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Pitman District 2,756
State Senate 4th Legislative District (Vote For 1),,Total,Pitman District 2,219
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Pitman District 3,808
State Senate 4th Legislative District (Vote For 1),,Total,Pitman District 3,222
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Pitman District 4,992
State Senate 4th Legislative District (Vote For 1),,Total,Pitman District 4,304
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Pitman District 5,965
State Senate 4th Legislative District (Vote For 1),,Total,Pitman District 5,322
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Pitman District 6,1033
State Senate 4th Legislative District (Vote For 1),,Total,Pitman District 6,284
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Pitman District 7,915
State Senate 4th Legislative District (Vote For 1),,Total,Pitman District 7,272
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 1,970
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 1,201
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 2,954
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 2,183
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 3,808
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 3,148
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 4,1163
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 4,234
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 5,1295
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 5,201
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 6,1449
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 6,240
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 7,981
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 7,179
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 8,892
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 8,182
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 9,977
State Senate 4th Legislative District (Vote For 1),,Total,Washington District 9,185
State Senate 4th Legislative District (Vote For 1),,Registered Voters,Washington District 10,689
