"Subgroup","Municipality","Candidate","Votes"
"Burlington County","Maple Shade Twp","Donald W. NorcrossDemocratic",4025
"Burlington County","Palmyra Boro","Donald W. NorcrossDemocratic",1975
"Federal Overseas","Burlington Totals","Donald W. NorcrossDemocratic",6000
"Camden County","Audubon Boro","Donald W. NorcrossDemocratic",2409
"Camden County","Audubon Park Boro","Donald W. NorcrossDemocratic",288
"Camden County","Barrington Boro","Donald W. NorcrossDemocratic",1733
"Camden County","Bellmawr Boro","Donald W. NorcrossDemocratic",2649
"Camden County","Berlin Boro","Donald W. NorcrossDemocratic",1591
"Camden County","Berlin Twp.","Donald W. NorcrossDemocratic",1293
"Camden County","Brooklawn Boro","Donald W. NorcrossDemocratic",455
"Camden County","Camden City","Donald W. NorcrossDemocratic",16424
"Camden County","Cherry Hill Twp.","Donald W. NorcrossDemocratic",20655
"Camden County","Chesilhurst Boro","Donald W. NorcrossDemocratic",476
"Camden County","Clementon Boro","Donald W. NorcrossDemocratic",1126
"Camden County","Collingswood Boro","Donald W. NorcrossDemocratic",4581
"Camden County","Gibbsboro Boro","Donald W. NorcrossDemocratic",592
"Camden County","Gloucester City","Donald W. NorcrossDemocratic",2259
"Camden County","Gloucester Twp.","Donald W. NorcrossDemocratic",15554
"Camden County","Haddon Heights Boro","Donald W. NorcrossDemocratic",2251
"Camden County","Haddon Twp.","Donald W. NorcrossDemocratic",4408
"Camden County","Haddonfield Boro","Donald W. NorcrossDemocratic",3557
"Camden County","Hi-Nella Boro","Donald W. NorcrossDemocratic",204
"Camden County","Laurel Springs Boro","Donald W. NorcrossDemocratic",488
"Camden County","Lawnside Boro","Donald W. NorcrossDemocratic",1329
"Camden County","Lindenwold Boro","Donald W. NorcrossDemocratic",4163
"Camden County","Magnolia Boro","Donald W. NorcrossDemocratic",1172
"Camden County","Merchantville Boro","Donald W. NorcrossDemocratic",1052
"Camden County","Mt. Ephraim Boro","Donald W. NorcrossDemocratic",1173
"Camden County","Oaklyn Boro","Donald W. NorcrossDemocratic",1076
"Camden County","Pennsauken Twp","Donald W. NorcrossDemocratic",10181
"Camden County","Pine Hill Boro","Donald W. NorcrossDemocratic",2513
"Camden County","Pine Valley Boro","Donald W. NorcrossDemocratic",1
"Camden County","Runnemede Boro","Donald W. NorcrossDemocratic",1914
"Camden County","Somerdale Boro","Donald W. NorcrossDemocratic",1533
"Camden County","Stratford Boro","Donald W. NorcrossDemocratic",1669
"Camden County","Tavistok Boro","Donald W. NorcrossDemocratic",2
"Camden County","Voorhees Twp.","Donald W. NorcrossDemocratic",7914
"Camden County","Winslow Twp.","Donald W. NorcrossDemocratic",10743
"Camden County","Woodlynne Boro","Donald W. NorcrossDemocratic",665
"Camden County","Federal Overseas","Donald W. NorcrossDemocratic",66
"Camden County","Camden Totals","Donald W. NorcrossDemocratic",130159
"Gloucester County","Deptford","Donald W. NorcrossDemocratic",7378
"Gloucester County","East Greenwich","Donald W. NorcrossDemocratic",1877
"Gloucester County","Glassboro","Donald W. NorcrossDemocratic",3851
"Gloucester County","Greenwich","Donald W. NorcrossDemocratic",1260
"Gloucester County","Logan","Donald W. NorcrossDemocratic",1504
